_id,County,Jurisdiction,Planning Period,Record Type,Review Status,Date Received,Date Reviewed,Compliance Status
1,ALAMEDA,ALAMEDA,6,ADOPTED,IN,11/16/2022,12/20/2022,IN
2,ALAMEDA,ALAMEDA COUNTY,6,INITIAL DRAFT,OUT,10/6/2023,1/4/2024,OUT
3,ALAMEDA,ALBANY,6,ADOPTED,IN,8/16/2023,9/8/2023,IN
4,ALAMEDA,BERKELEY,6,ADOPTED,IN,1/24/2023,2/28/2023,IN
5,ALAMEDA,DUBLIN,6,ADOPTED,IN,11/22/2023,1/19/2024,IN
6,ALAMEDA,EMERYVILLE,6,ADOPTED,IN,1/20/2023,2/3/2023,IN
7,ALAMEDA,FREMONT,6,ADOPTED,IN,1/23/2023,3/22/2023,IN
8,ALAMEDA,HAYWARD,6,ADOPTED,IN,6/7/2023,7/27/2023,IN
9,ALAMEDA,LIVERMORE,6,ADOPTED,IN,3/14/2023,3/24/2023,IN
10,ALAMEDA,NEWARK,6,ADOPTED,IN,11/1/2023,12/21/2023,IN
11,ALAMEDA,OAKLAND,6,ADOPTED,IN,2/13/2023,2/17/2023,IN
12,ALAMEDA,PIEDMONT,6,ADOPTED,IN,9/11/2023,11/9/2023,IN
13,ALAMEDA,PLEASANTON,6,ADOPTED,IN,6/27/2023,8/25/2023,IN
14,ALAMEDA,SAN LEANDRO,6,ADOPTED,IN,12/9/2022,2/2/2023,IN
15,ALAMEDA,UNION CITY,6,ADOPTED,IN,5/25/2023,5/30/2023,IN
16,ALPINE,ALPINE COUNTY,6,INITIAL DRAFT,OUT,8/4/2022,11/2/2022,OUT
17,AMADOR,AMADOR,6,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
18,AMADOR,AMADOR COUNTY,6,ADOPTED,OUT,12/22/2023,2/20/2024,OUT
19,AMADOR,IONE,6,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
20,AMADOR,JACKSON,6,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
21,AMADOR,PLYMOUTH,6,INITIAL DRAFT,OUT,2/8/2023,5/8/2023,OUT
22,AMADOR,SUTTER CREEK,6,ADOPTED,IN REVIEW,1/22/2024,,OUT
23,BUTTE,BIGGS,6,SUBSEQUENT DRAFT,OUT,6/14/2023,8/11/2023,OUT
24,BUTTE,BUTTE COUNTY,6,ADOPTED,IN,1/25/2023,2/22/2023,IN
25,BUTTE,CHICO,6,ADOPTED,IN,9/25/2023,11/6/2023,IN
26,BUTTE,GRIDLEY,6,NEW CYCLE,DUE,6/15/2022,6/15/2022,OUT
27,BUTTE,OROVILLE,6,ADOPTED,IN,4/26/2023,5/3/2023,IN
28,BUTTE,PARADISE,6,ADOPTED,IN,2/8/2023,2/28/2023,IN
29,CALAVERAS,ANGELS CAMP,6,ADOPTED,IN,10/28/2019,12/6/2019,IN
30,CALAVERAS,CALAVERAS COUNTY,6,ADOPTED,IN,9/13/2019,10/22/2019,IN
31,COLUSA,COLUSA,6,ADOPTED,IN,12/30/2020,3/1/2021,IN
32,COLUSA,COLUSA COUNTY,6,ADOPTED,IN,7/8/2020,7/17/2020,IN
33,COLUSA,WILLIAMS,6,ADOPTED,IN,11/3/2020,12/4/2020,IN
34,CONTRA COSTA,ANTIOCH,6,ADOPTED,IN,8/15/2023,10/12/2023,IN
35,CONTRA COSTA,BRENTWOOD,6,ADOPTED,IN REVIEW,2/14/2024,,OUT
36,CONTRA COSTA,CLAYTON,6,ADOPTED,IN REVIEW,3/15/2024,,OUT
37,CONTRA COSTA,CONCORD,6,ADOPTED,IN,9/15/2023,10/20/2023,IN
38,CONTRA COSTA,CONTRA COSTA COUNTY,6,ADOPTED,IN,12/13/2023,1/22/2024,IN
39,CONTRA COSTA,DANVILLE,6,ADOPTED,IN REVIEW,2/9/2024,,OUT
40,CONTRA COSTA,EL CERRITO,6,ADOPTED,IN,8/17/2023,8/22/2023,IN
41,CONTRA COSTA,HERCULES,6,SUBSEQUENT DRAFT,OUT,11/14/2023,1/12/2024,OUT
42,CONTRA COSTA,LAFAYETTE,6,SUBSEQUENT DRAFT,OUT,12/14/2023,2/12/2024,OUT
43,CONTRA COSTA,MARTINEZ,6,ADOPTED,OUT,12/21/2023,2/16/2024,OUT
44,CONTRA COSTA,MORAGA,6,ADOPTED,IN,7/17/2023,9/14/2023,IN
45,CONTRA COSTA,OAKLEY,6,ADOPTED,IN,3/29/2023,5/24/2023,IN
46,CONTRA COSTA,ORINDA,6,ADOPTED,IN,2/1/2023,3/30/2023,IN
47,CONTRA COSTA,PINOLE,6,ADOPTED,IN,6/23/2023,7/20/2023,IN
48,CONTRA COSTA,PITTSBURG,6,INITIAL DRAFT,OUT,5/5/2023,8/3/2023,OUT
49,CONTRA COSTA,PLEASANT HILL,6,ADOPTED,IN,10/31/2023,11/22/2023,IN
50,CONTRA COSTA,RICHMOND,6,ADOPTED,IN,9/26/2023,10/2/2023,IN
51,CONTRA COSTA,SAN PABLO,6,SUBSEQUENT DRAFT,OUT,9/25/2023,11/22/2023,OUT
52,CONTRA COSTA,SAN RAMON,6,ADOPTED,IN,2/6/2023,2/27/2023,IN
53,CONTRA COSTA,WALNUT CREEK,6,ADOPTED,IN,8/25/2023,10/24/2023,IN
54,DEL NORTE,CRESCENT CITY,6,ADOPTED,IN,9/18/2023,11/17/2023,IN
55,DEL NORTE,DEL NORTE COUNTY,6,ADOPTED,IN,2/15/2023,2/24/2023,IN
56,EL DORADO,EL DORADO COUNTY,6,ADOPTED,IN,3/23/2022,5/10/2022,IN
57,EL DORADO,PLACERVILLE,6,ADOPTED,IN,12/20/2022,12/21/2022,IN
58,EL DORADO,SOUTH LAKE TAHOE,6,ADOPTED,IN,7/7/2022,8/30/2022,IN
59,FRESNO,CLOVIS,6,SUBSEQUENT DRAFT,OUT,12/5/2023,2/1/2024,OUT
60,FRESNO,COALINGA,6,SUBSEQUENT DRAFT,IN REVIEW,3/14/2024,,OUT
61,FRESNO,FIREBAUGH,6,INITIAL DRAFT,OUT,11/1/2023,1/29/2024,OUT
62,FRESNO,FOWLER,6,SUBSEQUENT DRAFT,IN REVIEW,3/15/2024,,OUT
63,FRESNO,FRESNO,6,INITIAL DRAFT,OUT,11/3/2023,2/1/2024,OUT
64,FRESNO,FRESNO COUNTY,6,INITIAL DRAFT,OUT,12/18/2023,3/15/2024,OUT
65,FRESNO,HURON,6,INITIAL DRAFT,OUT,10/20/2023,1/18/2024,OUT
66,FRESNO,KERMAN,6,SUBSEQUENT DRAFT,IN REVIEW,2/27/2024,,OUT
67,FRESNO,KINGSBURG,6,SUBSEQUENT DRAFT,IN REVIEW,2/14/2024,,OUT
68,FRESNO,MENDOTA,6,INITIAL DRAFT,OUT,9/29/2023,12/26/2023,OUT
69,FRESNO,ORANGE COVE,6,SUBSEQUENT DRAFT,IN REVIEW,2/14/2024,,OUT
70,FRESNO,PARLIER,6,INITIAL DRAFT,OUT,11/13/2023,2/9/2024,OUT
71,FRESNO,REEDLEY,6,SUBSEQUENT DRAFT,IN,2/16/2024,2/27/2024,OUT
72,FRESNO,SAN JOAQUIN,6,SUBSEQUENT DRAFT,IN,3/11/2024,3/19/2024,OUT
73,FRESNO,SANGER,6,INITIAL DRAFT,OUT,10/9/2023,1/4/2024,OUT
74,FRESNO,SELMA,6,INITIAL DRAFT,IN REVIEW,12/28/2023,,OUT
75,GLENN,GLENN COUNTY,6,ADOPTED,OUT,12/22/2023,2/20/2024,OUT
76,GLENN,ORLAND,6,SUBSEQUENT DRAFT,IN,11/20/2023,11/21/2023,OUT
77,GLENN,WILLOWS,6,ADOPTED,IN,2/15/2023,3/28/2023,IN
78,HUMBOLDT,ARCATA,6,ADOPTED,IN,12/23/2019,1/28/2020,IN
